ID,Day,Theme,Idea,Hook,Platform,Status,Draft Link,Approved By,Scheduled Date,Notes
CQ-001,1,Launch,Launch montage + founder,"I'm an electrician and I built the app I wish I had on day one",All,Draft Ready,launch-package.md,,,Full assets ready — see launch-package.md
CQ-002,2,Sparky AI,Sparky answers a real NEC question,"I asked my phone an NEC question and got a straight answer",All,Idea,,,,3 free/day angle
CQ-003,3,Conduit Fill,12 #12 in 3/4 EMT legal or not,"12 #12 THHN in a 3/4 inch EMT — legal or not?",All,Idea,,,,Comment-your-answer engagement
CQ-004,4,Code Question,Daily code question,"Daily code question — comment A B C or D",All,Idea,,,,Pin answer in comments
CQ-005,5,Founder,Built by an electrician,"I'm an electrician. I built the app I wish I had as an apprentice",All,Idea,,,,Talking head + app B-roll
CQ-006,6,Box Fill,Box fill in 4 taps,"Box fill in four taps",All,Idea,,,,Show live update
CQ-007,7,Pain Point,Inspector POV conduit fill,"POV: the inspector asks about your conduit fill and you froze",All,Idea,,,,Acted reaction beat
CQ-008,8,Pipe Bending,Offset bend math,"Offset bend math, without the headache",All,Idea,,,,Optional EMT bend B-roll
CQ-009,9,Mistakes/Tips,Voltage drop long run,"That long run nobody calculated for",All,Idea,,,,Upsize before you pull
CQ-010,10,Sparky AI,Free tier 3 answers a day,"Free electrician AI — 3 answers a day, no subscription",All,Idea,,,,Packs from $1.99
CQ-011,11,Mistakes/Tips,Ampacity derating,"The derating everyone forgets",All,Idea,,,,6 CCC in a raceway
CQ-012,12,Code Question,Exam prep on lunch break,"Journeyman exam prep on your lunch break",All,Idea,,,,Drop your test date
CQ-013,13,Founder,First-year apprentice advice,"What I'd tell a first-year apprentice",All,Idea,,,,Save-this angle
CQ-014,14,Launch,Recap montage + launch special,"Everything an electrician needs — in one app",All,Idea,,,,Pricing: $7.99/mo or $49.99/yr
